# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1750165014572000000,1750165024377000000,257080
NonBlockingReadAction.finalizedExecutionsCount,1750165014572000000,1750165024377000000,15
NonBlockingReadAction.failedExecutionsCount,1750165014572000000,1750165024377000000,0
NonBlockingReadAction.failedExecutionTimeUs,1750165014572000000,1750165024377000000,0
FileNameCache.fastMisses,1750165014572000000,1750165024377000000,12
FileNameCache.totalMisses,1750165014572000000,1750165024377000000,12
FileNameCache.queries,1750165014572000000,1750165024377000000,312
StorageLockContext.competingThreads.max,1750165014572000000,1750165024377000000,11
DirectByteBufferAllocator.disposed,1750165014572000000,1750165024377000000,233
FilePageCache.maxRegisteredFiles,1750165014572000000,1750165024377000000,836
FilePageCache.pageLoadsAboveSizeThreshold,1750165014572000000,1750165024377000000,0
FilePageCache.disposedBuffers,1750165014572000000,1750165024377000000,233
FilePageCache.pageHits,1750165014572000000,1750165024377000000,0
DirectByteBufferAllocator.misses,1750165014572000000,1750165024377000000,233
StorageLockContext.competingThreads.90P,1750165014572000000,1750165024377000000,0
DirectByteBufferAllocator.reclaimed,1750165014572000000,1750165024377000000,0
FilePageCache.uncachedFileAccess,1750165014572000000,1750165024377000000,265
StorageLockContext.competingThreads.avg,1750165014572000000,1750165024377000000,0.6111111111111112
DirectByteBufferAllocator.hits,1750165014572000000,1750165024377000000,0
FilePageCache.totalPageDisposalsUs,1750165014572000000,1750165024377000000,794
FilePageCache.pageLoads,1750165014572000000,1750165024377000000,233
FilePageCache.maxCacheSizeInBytes,1750165014572000000,1750165024377000000,245399552
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1750165014572000000,1750165024377000000,0
FilePageCache.pageFastCacheHits,1750165014572000000,1750165024377000000,16244
FilePageCache.totalPageLoadsUs,1750165014572000000,1750165024377000000,187493
FilePageCache.capacityInBytes,1750165014572000000,1750165024377000000,524288000
